3DS
3DS (DLC)
3DS (VC)
Blizzard
GB/GBC
GBA
GC
NDS
PC
PS2
PS3
PSP
PSX
Steam
Switch
Steam (DLC)
Wii
Wii U
Wii U (DLC)
Wii U (VC)
X360
Xbox
