New,Hell Yeah! Virtual Rabbit Missions,16
New,Hero Siege,14
Started,Higurashi no Naku Koro Ni,14
New,Hiveswap Act 1,14
New,How to Survive,14
Completed,Iconoclasts,14
Finished,Inazuma Eleven,8
Finished,Inazuma Eleven 2: Tormenta de Fuego,8
Ignored,Inazuma Eleven 2: Ventisca Eterna,8
Ignored,Inazuma Eleven 3: Fuego Explosivo,1
Ignored,Innocent Life,12
Finished,Jak 3,10
Finished,Jak II,10
Started,Jet Set Radio,14
Completed,Jet Set Radio Future,22
Ignored,JoJo's Bizarre Adventure: All Star Battle,11
Finished,Just Cause 2,14
Finished,Just Cause 3,14
Finished,Katamari Damacy REROLL,15
Ignored,Kid Chameleon,16
New,Killer is Dead - Nightmare Edition,14
New,Killing Floor,14
Finished,Kingdom Hearts,10
Started,Kingdom Hearts 358/2 Days,8
Completed,Kingdom Hearts II,10
Finished,Kingdom Hearts Re:Coded,8
Completed,Kingdom Hearts: Birth by Sleep,12
New,Kingdom Hearts: Chain of Memories,6
Finished,Kingdom Hearts: Dream Drop Distance,1
Completed,Kirby and the Amazing Mirror,6
Completed,Kirby Super Star Ultra,8
Completed,Kirby: Mouse Attack,8
Finished,Kirby: Planet Robobot,1
Completed,Kirby: Power Paintbrush,8
Completed,Kirby: Star Allies,15
Finished,Kirby: Triple Deluxe,1
Ignored,Kirikou,5
Ignored,Knights in the Nightmare,8
Ignored,KnightShift,14
Ignored,La-Mulana,14
Ignored,Landstriker,16
Ignored,Left 4 Dead,14
Ignored,Left 4 Dead 2,14
Ignored,Lethal League,14
Completed,Life is Strange,14
Ignored,Light Crusader,16
Ignored,Little Battler eXperience,1
Completed,Little Inferno,14
Ignored,Lord of the Rings: The Return of the King,6
Ignored,Los Sims Magia Potagia,9
New,Lovers in a Dangerous Spacetime,14
Finished,MadWorld,17
Ignored,Makai Kingdom,10
Started,Mario & Luigi: Viaje al centro de Bowser,8
Ignored,Mario Kart 8,18
Ignored,Mario Kart 8: The Legend of Zelda DLC,19
Ignored,Mario vs Donkey Kong,6
Started,Mark of the Ninja,14
Ignored,Marvel vs Capcom 3,21
Ignored,Master Reboot,14
Started,Mega Man Zero Collection,8
Finished,MELTY BLOOD Actress Again Current Code,14
Started,Metal Gear Rising,14
Ignored,Meteos: Disney Magic,8
Ignored,Metroid (NES),3
Completed,Metroid Fusion,6
Ignored,Metroid II: Return of Samus (GB),3
Finished,Metroid Prime,17
Started,Metroid Prime 2: Echoes,17
New,Metroid Prime 3: Corruption,17
Finished,Metroid: Other M,17
Started,Metroid. Samus Returns,1
Ignored,Mickey's Wild Adventure,13
Finished,Mighty Gunvolt,14
Started,Mighty No. 9,14
Started,Mighty No. 9 - Ray Expansion,16
Finished,Mirror's Edge,21
Finished,Monster Hunter Generations,1
Finished,Monster Hunter: World,14
New,Muv-Luv,14
Completed,Nekojishi,9
Finished,NiGHTS Into Dreams...,14
Ignored,No One Can Stop Mr. Domino,13
Finished,Noitu Love 2,14
Finished,Noitu Love Devolution,1
Started,Nuclear Throne,14
